,win,nomination
nm0781340,,
nm8590638,,
nm0163706,7,9
nm0804887,3,10
nm1543906,5,14
nm0242271,1,2
nm0923058,,
nm0243109,11,8
nm0000255,73,117
nm3265321,,
nm0797526,0,2
nm2101131,,
nm4865228,,
nm0171050,,
nm0005688,6,5
nm0931435,2,1
nm0762628,2,1
nm0579687,3,3
nm1048540,2,4
nm0349844,0,3
nm0150839,,
nm0697676,0,2
nm0252760,0,6
nm1950921,1,6
nm0796117,16,44
nm0758949,1,4
nm6735778,,
nm0594158,2,1
nm0789477,0,2
nm0314606,2,4
nm5852684,,
nm0042771,5,3
nm4316354,2,0
nm0537985,1,1
nm0703029,19,11
nm0106620,21,14
nm0233091,7,2
nm3061347,1,1
nm1485296,,
nm0280034,0,2
nm0571392,0,1
nm2021547,33,36
nm0676704,,
nm0150991,,
nm0552371,,
nm0016900,5,3
nm0295345,3,0
nm0581903,9,18
nm0297202,16,8
nm6455554,,
nm0576494,,
nm0444729,0,1
nm0996145,12,1
nm0224167,9,2
nm0276899,10,20
nm0704721,2,2
nm0253106,,
nm5328157,,
nm7954017,1,0
nm0361575,11,3
nm0275034,2,0
nm0531440,6,3
nm3116486,,
nm0254632,7,11
nm0475938,,
nm2788440,,
nm1996138,3,3
nm4851826,,
nm4214454,7,10
nm2892201,13,0
nm2843043,1,0
nm1410110,5,3
nm2119371,5,1
nm1916835,10,8
nm5509584,,
nm3798740,5,5
nm0537695,2,4
nm1184336,1,2
nm0927296,1,0
nm0546510,8,17
nm0534979,,
nm3604208,6,0
nm0710563,,
nm2120311,2,2
nm1984504,1,1
nm2030805,2,0
nm0711261,,
nm0487166,55,126
nm0277727,,
nm1680315,4,0
nm0427275,,
nm5465229,,
nm0525303,35,53
nm0878674,,
nm5539475,0,2
nm0290118,,
nm3821208,4,1
nm2031205,10,3
nm0343094,8,4
nm0216560,15,3
nm1541019,1,1
nm0911652,18,22
nm3234333,5,21
nm0311700,8,10
nm0413054,5,0
nm2345100,,
nm3906558,1,3
nm0752960,11,2
nm0082859,0,2
nm5204466,,
nm0357816,2,0
nm4990509,2,0
nm0693962,,
nm3598831,,
nm2759628,0,1
nm0229694,1,2
nm3250856,13,8
nm0292419,2,6
nm2053844,2,2
nm3536577,,
nm0711894,,
nm2487032,,
nm0533691,2,3
nm3500450,2,8
nm2732832,11,13
nm0869665,2,1
nm0792605,,
nm4730668,,
nm0214584,,
nm4393380,,
nm0695604,0,1
nm5248632,1,0
nm0482486,0,1
nm2179018,3,1
nm1654392,2,0
nm0539495,,
nm0960025,3,1
nm1349523,,
nm1589083,3,2
nm0129555,0,1
nm0182275,1,2
nm1157527,0,1
nm2988421,9,16
nm0666121,,
nm0358759,1,0
nm0175305,0,10
nm0531962,,
nm1201135,,
nm0329650,,
nm0048745,,
nm7483156,,
nm0687964,22,33
nm1195992,5,0
nm1483782,,
nm0093404,4,0
nm4987262,,
nm2096474,,
nm1785988,2,1
nm3165458,,
nm0720000,1,2
nm0408076,45,20
nm2754122,24,38
nm0000019,70,53
nm5907071,,
nm0324162,6,5
nm0072159,3,3
nm0172016,3,0
nm0006276,1,2
nm0910870,,
nm0834338,1,4
nm2076409,7,16
nm0773020,,
nm2398604,,
nm1849294,0,1
nm0955346,25,20
nm0096901,1,0
nm1839743,7,2
nm2556702,3,4
nm0344414,3,5
nm8852783,,
nm0454782,,
nm0885249,31,36
nm1659908,,
nm0281492,4,0
nm1305157,9,4
nm9252716,,
nm5386710,,
nm2781136,,
nm6645350,2,2
nm0376247,,
nm3888113,,
nm0015443,0,1
nm5016703,3,7
nm1368035,,
nm2337991,21,20
nm2648685,5,11
nm0599515,4,2
nm0961520,2,2
nm1618621,5,2
nm1402180,1,3
nm0430314,,
nm9450602,2,1
nm0001500,8,13
nm0653620,1,1
nm0432723,3,4
nm1077663,2,2
nm3469020,,
nm2337009,,
nm0614236,,
nm1037008,,
nm0508040,2,0
nm1825133,,
nm1240183,,
nm2013046,1,4
nm2363583,0,1
nm9623401,1,3
nm1505934,,
nm2579540,3,2
nm1119536,,
nm1415540,,
nm0000941,85,65
nm2429994,,
nm0325196,6,1
nm1328153,,
nm4382505,,
nm3676803,1,0
nm0373352,,
nm9527590,,
nm2080488,28,10
nm0583754,,
nm0001102,20,13
nm1788310,1,4
nm0190599,1,0
nm0939381,,
nm6073824,2,2
nm0381088,,
nm0712540,,
nm0754575,,
nm1576218,1,1
nm6471689,,
nm3442103,,
nm2644574,6,5
nm1215600,0,6
nm0867262,4,8
nm0152640,0,6
nm0434211,0,4
nm3201973,,
nm0793802,1,0
nm0026824,0,2
nm0133911,,
nm3268280,1,0
nm0068587,0,2
nm0490375,5,1
nm0029363,,
nm0265781,2,0
nm0127158,6,0
nm0103971,,
nm2968402,16,10
nm0596347,1,4
nm4747479,,
nm2506010,2,2
nm0319690,1,3
nm2029597,12,3
nm0515234,7,2
nm0411958,2,1
nm1500323,0,1
nm0886871,,
nm2295867,,
nm0155292,4,3
nm0451261,,
nm0464424,,
nm3161822,7,15
nm0328718,,
nm3225166,,
nm0001724,20,41
nm6114656,,
nm0154877,1,1
nm0067384,2,0
nm0383958,1,1
nm3107249,1,0
nm4476264,,
nm0766578,,
nm1941973,3,3
nm0017352,0,4
nm1550132,12,7
nm0531269,2,2
nm0468882,6,8
nm0000110,43,68
nm4023420,0,7
nm2588865,,
nm0881762,19,6
nm0936673,1,1
nm1626716,26,20
nm0821143,3,3
nm3828631,,
nm4409205,,
nm3642647,2,0
nm1386500,0,6
nm0792450,2,0
nm0180902,,
nm1868149,4,0
nm3373917,1,4
nm0537268,1,6
nm0161717,14,19
nm1441208,,
nm0942611,,
nm2837835,,
nm0068385,2,3
nm7131635,,
nm0480085,0,1
nm0757508,7,2
nm0033243,0,1
nm3965248,,
nm0619851,8,8
nm3391110,1,0
nm0415148,5,3
nm2723536,5,6
nm1656742,,
nm0539354,,
nm0139081,3,12
nm2112806,1,2
nm0178057,,
nm0414814,5,10
nm4772813,15,12
nm0970606,0,3
nm4851516,2,0
nm1141164,6,0
nm0305165,8,0
nm0824638,2,5
nm0006620,4,7
nm0588496,,
nm4677070,,
nm5099330,0,1
nm0527065,,
nm0003557,4,9
nm0599910,4,4
nm1683444,,
nm1642665,,
nm6073518,1,0
nm0004630,,
nm0133075,3,8
nm0080409,9,3
nm0291082,18,40
nm0483608,3,10
nm0750709,,
nm11521143,,
nm1501385,,
nm0474610,1,2
nm4883553,3,10
nm0720510,10,8
nm1562688,7,10
nm0989998,1,8
nm0837406,7,2
nm1989536,7,7
nm3304011,3,0
nm1183062,1,1
nm0797578,2,2
nm6815084,0,1
nm1286215,1,1
nm0493468,1,0
nm8281434,,
nm0111958,0,1
nm7850791,4,6
nm2528451,8,34
nm0356338,2,2
nm0727605,2,1
nm0624500,,
nm0148768,,
nm0667299,,
nm0783257,,
nm0004627,1,1
nm0066580,0,2
nm0755261,2,8
nm0776116,,
nm0466833,9,4
nm0434654,1,0
nm0700301,25,23
nm0663409,1,4
nm2265536,1,1
nm0459369,,
nm0122216,1,2
nm0450387,1,3
nm1340910,1,2
nm0812850,1,2
nm0318271,0,1
nm0105487,,
nm2039261,,
nm4397835,0,2
nm4565198,,
nm0339538,,
nm0002337,4,5
nm0369087,1,0
nm0009765,11,5
nm0927468,,
nm0619321,0,1
nm0271058,1,1
nm0343149,0,3
nm2509638,49,32
nm4988347,,
nm5149511,,
nm2996966,10,8
nm0681635,2,3
nm1122457,2,2
nm0003532,,
nm0523276,3,10
nm1690881,,
nm5338753,,
nm0086301,2,4
nm3729006,,
nm0638947,0,2
nm3624676,,
nm1011775,,
nm2177970,1,6
nm1402203,1,0
nm0528927,1,0
nm8565031,,
nm6325280,,
nm0309467,,
nm0720168,0,2
nm0438651,3,6
nm2167980,,
nm0443380,1,0
nm4756103,,
nm1753038,2,1
nm0617762,0,1
nm3781554,14,5
nm0024825,,
nm5518082,,
nm1571612,,
nm3180471,0,1
nm0127511,,
nm0056334,,
nm0352524,1,2
nm3494613,2,4
nm0668165,14,7
nm4355606,0,1
nm7478008,,
nm0844896,10,16
nm2581803,,
nm1385075,5,5
nm0535957,,
nm1027891,0,1
nm0538532,27,18
nm1823246,2,1
nm0439776,,
nm4918674,,
nm0323219,,
nm4390552,,
nm0349406,1,5
nm0150838,,
nm4965655,,
nm0910918,6,11
nm0178923,,
nm1064633,6,2
nm1060386,1,2
nm0851288,2,3
nm1550571,3,7
nm0786042,5,1
nm0082526,1,6
nm0136551,,
nm0078166,0,4
nm5720131,1,0
nm0647438,54,26
nm7326029,0,1
nm4678690,,
nm2190281,1,0
nm1694433,,
nm1042372,2,0
nm3854553,3,0
nm0746730,6,10
nm1958997,,
nm6914513,8,12
nm5940364,,
nm0022768,,
nm1002222,,
nm0003733,1,11
nm0310782,,
nm0839812,,
nm7653700,,
nm1702929,14,4
nm6342471,,
nm1016428,26,28
nm0827839,0,1
nm3216778,11,7
nm0847614,,
nm5383460,0,3
nm1544425,,
nm6906633,,
nm3789533,,
nm0619073,,
nm3021346,21,37
nm0444848,,
nm0363087,0,4
nm2145328,7,14
nm0287082,9,7
nm0934230,,
nm5261088,3,12
nm1516290,10,8
nm0755323,0,2
nm1625721,8,3
nm0641714,,
nm1060439,,
nm0124089,7,5
nm0919968,1,1
nm2622983,,
nm0494944,4,1
nm0434095,5,3
nm0593610,6,1
nm9742183,,
nm0922487,0,1
nm0075644,8,9
nm2444078,,
nm0314155,5,9
nm0793548,2,2
nm0866758,,
nm7233627,1,4
nm0002072,1,0
nm1098369,,
nm0200645,2,2
nm0003373,,
nm0644012,1,2
nm0446819,8,9
nm4945370,3,0
nm1263390,0,3
nm0640385,,
nm0617407,6,5
nm0600793,1,0
nm9367887,,
nm0145684,,
nm0850366,3,2
nm0533559,3,6
nm0527000,,
nm0179994,1,1
nm3208940,1,4
nm1547964,7,21
nm0170901,0,1
nm0826164,,
nm0163095,1,2
nm0692583,4,2
nm0525699,,
nm2947601,,
nm0101385,1,7
nm1252080,7,4
nm0544337,,
nm0646444,14,23
nm0708371,0,2
nm0907655,,
nm0523310,1,0
nm4222005,0,4
nm0565187,,
nm0443051,,
nm1932706,8,16
nm0068864,,
nm0110420,,
nm0467397,,
nm0359428,,
nm0254285,,
nm0543890,2,6
nm0339683,4,1
nm5455707,0,1
nm0001490,5,5
nm1371074,,
nm0414646,4,3
nm1143429,4,0
nm4341096,1,6
nm0943230,,
nm1335624,0,2
nm0004541,11,17
nm0289576,2,2
nm5039620,,
nm0683597,7,5
nm1309084,,
nm3198149,5,4
nm0684510,0,1
nm0538105,5,7
nm0788202,1,5
nm0671427,2,0
nm2936539,0,3
nm0212438,,
nm0503600,0,1
nm1778465,,
nm0048130,,
nm0753591,0,1
nm0607753,1,0
nm5725247,,
nm3133137,4,2
nm3123304,,
nm3062127,1,3
nm1971220,0,6
nm0053228,,
nm0858379,1,0
nm0158339,,
nm0459552,6,0
nm2097361,3,3
nm2804620,,
nm0623385,,
nm0025823,0,1
nm3622659,4,4
nm3516113,1,0
nm3705960,3,17
nm0363837,2,1
nm0315916,15,12
nm9068788,,
nm0553303,14,8
nm0557267,16,10
nm6918119,,
nm3346049,0,2
nm0337422,1,0
nm5151982,1,2
nm0171619,0,2
nm0868650,5,0
nm0015091,11,11
nm5931991,,
nm0192446,0,3
nm0130991,15,13
nm4389466,0,1
nm0044443,2,0
nm0265684,3,8
nm0270970,5,1
nm0846346,,
nm0566515,,
nm0001566,30,35
nm0291329,2,3
nm0994368,3,0
nm2568991,1,1
nm0408937,,
nm0090013,0,1
nm1106163,0,1
nm6494815,6,1
nm0775733,2,2
nm0358960,20,47
nm0939986,,
nm4505507,,
nm0877698,12,11
nm0280691,,
nm3019669,4,6
nm0110653,20,23
nm0953740,,
nm2645341,,
nm1506819,,
nm0120978,,
nm1451294,1,0
nm4083736,0,1
nm0072354,3,0
nm0237292,2,4
nm1398746,9,5
nm0768422,1,3
nm9245315,,
nm1059369,,
nm2722603,,
nm1754484,1,7
nm3665850,9,5
nm1543762,,
nm0535106,,
nm0783182,,
nm0483726,0,4
nm0522393,0,3
nm1992722,5,8
nm2454264,2,3
nm0119685,10,2
nm1511403,,
nm0470514,15,12
nm3492890,,
nm0918904,3,1
nm5794009,1,1
nm6148518,,
nm2302581,,
nm4932106,0,3
nm0001130,2,4
nm3481902,2,7
nm3488988,1,4
nm0729626,15,23
nm1215827,,
nm1588484,,
nm0697195,,
nm0384886,,
nm0264242,,
nm0490370,,
nm1203494,,
nm0500145,0,1
nm7996207,,
nm2643449,2,0
nm0827868,1,5
nm0056423,,
nm1048554,,
nm0708763,4,4
nm1919981,0,1
nm3804586,,
nm4801201,,
nm2038384,1,3
nm4406142,,
nm1620528,,
nm4511277,0,2
nm3232859,,
nm0704451,,
nm2667381,1,1
nm0689185,1,1
nm1532126,,
nm1959351,,
nm3193346,,
nm0150886,0,3
nm0133899,10,21
nm1419617,4,3
nm0857002,,
nm3017750,3,2
nm2148889,3,5
nm0415494,3,2
nm0538966,,
nm3408210,,
nm0716945,0,2
nm2463233,0,2
nm0467025,,
nm1576034,,
nm0222894,7,8
nm9301788,,
nm3282636,,
nm0152284,,
nm1491597,,
nm0781733,14,9
nm0848121,,
nm8244607,4,5
nm0799575,,
nm0396074,24,28
nm9470141,,
nm2808114,,
nm0782213,10,5
nm2371802,6,9
nm0029049,,
nm0918896,,
nm0412213,,
nm0384965,,
nm0155940,2,3
nm0029940,1,0
nm0213940,0,3
nm1547971,,
nm0000788,9,14
nm5390834,1,2
nm1010128,1,3
nm0093051,5,6
nm0502039,1,5
nm1014409,9,2
nm0005347,5,6
nm0875012,1,7
nm1286934,2,0
nm9257876,,
nm2387350,,
nm7150997,,
nm4949493,0,2
nm4291267,2,0
nm1922735,32,40
nm0126096,6,6
nm0150057,7,4
nm0776997,,
nm0001040,29,21
nm0299206,,
nm1356268,6,8
nm2050643,10,10
nm1460266,,
nm0956205,2,4
nm2813440,,
nm0062862,0,1
nm0103785,11,47
nm6929029,10,7
nm2554973,,
nm0300701,2,3
nm3272766,0,3
nm0259032,3,0
nm0592824,,
nm1738978,1,5
nm2000073,13,14
nm0233288,9,5
nm0883145,,
nm0747504,0,1
nm3320159,2,10
nm2406995,,
nm0003620,13,27
nm2123540,,
nm0002973,3,2
nm9252711,,
nm8434396,,
nm2201408,,
nm1769322,,
nm1971244,,
nm1979425,,
nm0037571,,
nm0741582,0,4
nm0672546,4,5
nm0027350,,
nm1751767,1,0
nm2685346,,
nm0161205,4,8
nm0299697,13,8
nm3318206,30,11
nm7541729,,
nm0209010,16,19
nm1958762,1,0
nm0879301,1,0
nm0705058,1,0
nm2073287,,
nm0375362,,
nm1042371,,
nm0085627,3,10
nm0501539,1,0
nm3309810,3,14
nm0433211,12,11
nm5218317,2,2
nm0220652,8,8
nm0099592,1,2
nm2382268,1,0
nm3753276,0,1
nm0780825,3,5
nm0417553,1,1
nm0527261,1,4
nm2903575,7,22
nm2352364,0,2
nm0644654,1,6
nm0282739,0,3
nm3458550,1,1
nm1834561,38,23
nm0033177,2,1
nm1760871,21,12
nm0348321,3,3
nm0777209,0,1
nm0644700,1,5
nm2903680,1,1
nm2105585,38,37
nm0040404,0,2
nm6142895,2,1
nm2845645,,
nm0002382,2,0
nm1079051,3,4
nm1030706,4,1
nm0029161,3,2
nm0239322,1,2
nm3889617,4,3
nm1497931,0,3
nm1498358,0,3
nm1143055,,
nm0536057,2,3
nm0016234,21,13
nm0172018,1,1
nm0209303,3,6
nm0600409,21,20
nm0851596,0,1
nm1699819,0,3
nm0258172,13,5
nm2320332,1,0
nm1033939,,
nm1399913,1,0
nm0958969,2,1
nm2113581,2,6
nm2902366,,
nm0195773,3,4
nm0864964,,
nm0836942,,
nm3051114,,
nm0173728,18,11
nm0496992,,
nm0886976,31,32
nm0370914,0,1
nm3074729,1,0
nm0103855,2,1
nm0948962,,
nm1556123,15,6
nm0246990,,
nm0277439,3,7
nm0296325,,
nm1085552,1,0
nm0162407,,
nm1157484,,
nm2387348,,
nm2938123,,
nm5654013,,
nm0881081,5,1
nm3106449,8,9
nm3125271,,
nm0664896,,
nm0932551,17,36
nm2311452,2,3
nm0434699,1,0
nm0019144,,
nm0346598,4,6
nm0903177,0,7
nm0541909,11,3
nm0191163,0,3
nm0348594,3,4
nm0202036,8,0
nm0266645,,
nm2605802,,
nm2560181,0,1
nm0508206,2,4
nm10079169,,
nm0637189,18,6
nm0634524,,
nm2303069,4,2
nm0106928,0,1
nm1933648,21,18
nm0157024,1,0
nm1785691,12,10
nm0049592,,
nm1618147,,
nm0346623,,
nm1634997,0,1
nm1140103,5,3
nm0506576,,
nm0197889,,
nm2809261,2,4
nm0884982,2,1
nm0875744,1,3
nm0531751,4,3
nm2384632,,
nm0197521,0,1
nm1384853,40,20
nm3525911,,
nm0149670,1,1
nm5826097,1,0
nm3678137,,
nm0641496,,
nm8945028,,
nm0644900,4,7
nm4347597,0,1
nm1107016,,
nm0169348,3,6
nm2056772,,
nm1509549,,
nm0253899,,
nm0057842,1,0
nm2435387,,
nm6395947,,
nm0164531,,
nm0659380,5,15
nm1437558,,
nm0287126,2,0
nm3680035,0,4
nm1080573,,
nm6462306,,
nm7276596,,
nm0061582,2,1
nm2813250,1,0
nm2746751,0,1
nm1961805,,
nm0756908,5,2
nm5066510,0,2
nm0923304,,
nm0229025,,
nm0701269,1,2
nm0278181,0,3
nm0490236,,
nm0355790,0,1
nm0331777,,
nm0859499,2,0
nm3974436,0,5
nm0497758,,
nm0344955,,
nm0844476,,
nm0438223,4,1
nm9107963,,
nm7920254,9,12
nm0025107,1,1
nm0845661,1,1
nm0945847,8,4
nm0641400,2,2
nm0052045,2,1
nm0950956,,
nm3138626,3,0
nm2817354,,
nm0483575,7,4
nm0001298,2,1
nm0060617,,
nm0248440,2,4
nm2264123,1,0
nm0396017,1,1
nm1616394,3,10
nm0896735,,
nm4513456,,
nm0005710,3,9
nm0916189,1,2
nm0409882,,
nm0412094,,
nm0956507,6,3
nm0405578,7,9
nm1030190,,
nm0876488,,
nm3907076,,
nm1117808,5,7
nm0954474,7,0
nm2038534,,
nm1847711,1,0
nm0293997,0,3
nm0027179,2,0
nm0774907,0,4
nm1268543,0,1
nm0716748,7,5
nm3655743,1,5
nm0787687,2,13
nm3325960,1,7
nm0688096,0,2
nm0233026,4,2
nm7485387,11,8
nm0006518,,
nm0005647,1,2
nm0370912,,
nm5451439,,
nm0004344,1,4
nm0243563,9,3
nm0787475,,
nm0690770,,
nm0878216,2,2
nm0377431,,
nm2527208,,
nm0086998,,
nm2100246,2,2
nm0589871,1,2
nm1802554,3,1
nm1868746,12,0
nm0630802,0,1
nm4928331,3,6
nm0007139,28,40
nm0210811,,
nm0473516,3,2
nm0381460,1,0
nm0040939,6,5
nm0790230,,
nm0542532,4,5
nm1158638,,
nm0623048,6,7
nm1011337,2,4
nm1419247,,
nm2213145,2,1
nm2104502,,
nm0000985,50,79
nm0694411,2,2
nm0949558,0,1
nm0973475,5,7
nm0394119,7,14
nm1698691,,
nm0509436,,
nm0205760,2,6
nm0791206,,
nm0570610,,
nm0352514,0,1
nm0706170,,
nm1443023,24,16
nm0135653,1,1
nm0046899,1,0
nm2332718,8,12
nm1050198,1,1
nm0483747,5,0
nm0201375,2,3
nm3009733,,
nm0798062,2,1
nm7698601,,
nm0003758,2,4
nm0313745,1,2
nm0104146,0,1
nm1641326,7,1
nm5593337,8,21
nm0001382,1,7
nm0783461,,
nm1893665,4,9
nm0949210,1,1
nm1856667,2,6
nm0468454,6,5
nm2500904,0,1
nm0777521,2,2
nm0101692,,
nm1971664,1,0
nm2170526,7,8
nm1561263,4,4
nm4015368,,
nm4629423,6,3
nm1084723,,
nm0296651,2,1
nm4649180,,
nm2188866,0,1
nm2980191,,
nm0499196,2,1
nm3554264,2,5
nm1092946,12,1
nm0924063,4,0
nm0076965,,
nm0567620,15,25
nm0762688,,
nm0606328,,
nm0256586,,
nm1185294,,
nm1167586,,
nm2274868,,
nm0663881,2,1
nm0864997,1,2
nm1149911,,
nm3452823,1,0
nm2446847,,
nm0272704,6,4
nm1098171,2,3
nm1140358,,
nm3087706,,
nm0559431,,
nm1077400,,
nm0945026,6,10
nm2169140,1,0
nm5636855,,
nm0495620,6,2
nm0005803,3,2
nm0481812,,
nm0570730,,
nm2380484,5,13
nm0070491,1,3
nm1164403,1,0
nm3420017,1,7
nm0412465,51,60
nm0050853,4,4
nm1134029,9,13
nm0594075,,
nm0924332,,
nm0932992,6,0
nm0782704,6,2
nm0224570,,
nm3124865,2,7
nm3770947,4,3
nm0464951,7,3
nm1066396,11,1
nm0711551,3,1
nm0836557,1,4
nm0616107,,
nm0147459,,
nm0657343,7,11
nm0855613,0,1
nm1837403,0,1
nm4603076,,
nm0355092,7,4
nm0013706,3,0
nm0843582,,
nm0733227,1,4
nm1315567,4,11
nm0330185,13,16
nm0957454,2,0
nm0745247,18,12
nm0881279,30,31
nm3735802,1,3
nm2407294,,
nm0448225,8,14
nm1667854,0,2
nm0399944,,
nm2028084,2,6
nm1012037,,
nm2681729,1,0
nm5264411,1,5
nm3417120,2,2
nm0001068,60,81
nm2113026,,
nm1900694,1,3
nm1175903,0,1
nm0000782,16,15
nm0656996,0,2
nm4285728,4,0
nm4854915,,
nm0806102,0,2
nm1333375,1,4
nm0726914,11,15
nm3860366,0,2
nm1900923,3,4
nm1916938,,
nm0069715,5,2
nm0911477,2,1
nm4403137,,
nm1450964,19,27
nm0841041,6,10
nm9543933,,
nm0172862,,
nm2861878,,
nm4017355,3,11
nm1746009,0,1
nm0683274,18,8
nm0462277,2,0
nm6126361,,
nm0463628,0,2
nm0175020,0,2
nm0410253,,
nm1381646,3,0
nm0181579,16,15
nm9829530,,
nm3874566,,
nm4234237,9,24
nm2416695,,
nm2815252,,
nm0706484,2,0
nm0032795,10,16
nm0797854,1,0
nm0597857,2,3
nm0089636,0,1
nm4252203,,
nm0739388,22,9
nm0912719,,
nm0443592,,
nm0423329,2,0
nm0009743,,
nm1067883,,
nm1901365,1,1
nm8254778,,
nm2831529,3,8
nm1575453,0,2
nm5222178,9,7
nm0663489,3,9
nm9386827,,
nm0471487,3,1
nm0285610,,
nm0442454,55,65
nm4191929,14,18
nm2206678,,
nm0355192,,
nm7057557,,
nm4567259,5,14
nm3809021,1,0
nm0755411,,
nm0684342,11,6
nm1335387,12,9
nm0384852,4,4
nm0563552,2,0
nm0467011,14,7
nm4735241,7,8
nm0820830,2,0
nm0086945,2,3
nm0458676,,
nm0745700,1,4
nm0524108,1,3
nm0500177,1,0
nm2113474,2,2
nm1646464,4,3
nm0241622,31,45
nm0998825,17,11
nm4728180,0,1
nm2909436,,
nm0292931,2,3
nm0001603,6,9
nm0250436,1,1
nm0228895,,
nm0584630,13,12
nm0663674,,
nm3655122,,
nm2975950,2,3
nm0795961,,
nm1082555,,
nm0870469,1,5
nm1435316,1,3
nm2652613,0,1
nm1926336,10,14
nm0076277,,
nm2318509,0,1
nm1937564,,
nm0729984,0,1
nm2381474,0,2
nm3844307,0,1
nm2928364,22,24
nm5889289,0,1
nm1672085,4,10
nm1834214,2,1
nm10529304,,
nm0875030,14,14
nm4994462,1,0
nm1846132,1,14
nm1414582,1,5
nm0018735,10,9
nm0213718,,
nm1326842,5,11
nm0728335,1,1
nm0526971,1,0
nm8469043,,
nm0166256,11,17
nm3245732,,
nm1437990,11,15
nm1032754,1,1
nm0675929,,
nm1471001,2,5
nm3417134,7,4
nm0617960,5,3
nm6676672,4,3
nm0532914,5,7
nm0958257,1,0
nm0148999,0,4
nm0304298,1,2
nm8345958,,
nm5774826,,
nm0690741,3,3
nm1985821,2,1
nm4879201,,
nm0364578,5,3
nm9808665,3,5
nm2389985,0,1
nm0277946,14,22
nm3016796,,
nm0688076,0,1
nm0230629,1,0
nm2268077,0,1
nm0532385,,
nm1416684,1,0
nm1978693,4,8
nm1537157,1,2
nm4091941,5,4
nm0886281,,
nm0080120,9,1
nm0500867,0,1
nm0725572,,
nm0928208,0,1
nm9767413,,
nm2333129,1,1
nm0682592,,
nm9857893,,
nm0026174,7,7
nm6026330,0,1
nm5509924,,
nm1320634,,
nm0482232,,
nm0828336,2,1
nm1041888,1,0
nm0596850,1,6
