,win,nomination
tt0035423,1,5
tt0054130,6,2
tt0054632,2,5
tt0054698,11,13
tt0054743,1,11
tt0054847,7,13
tt0054953,4,12
tt0054997,13,20
tt0055018,3,5
tt0055031,16,25
tt0055032,3,4
tt0055184,1,1
tt0055254,1,1
tt0055256,1,8
tt0055277,2,8
tt0055304,0,0
tt0055471,3,7
tt0055499,3,5
tt0055572,2,2
tt0055601,2,1
tt0055614,28,10
tt0055630,4,2
tt0055798,4,12
tt0055824,0,0
tt0055830,0,0
tt0055852,1,1
tt0055895,10,13
tt0055913,12,9
tt0055928,4,4
tt0056058,9,2
tt0056059,0,0
tt0056085,10,5
tt0056111,0,0
tt0056172,31,14
tt0056193,2,9
tt0056197,8,6
tt0056217,4,3
tt0056218,5,8
tt0056241,11,12
tt0056262,6,12
tt0056264,3,13
tt0056291,1,2
tt0056412,2,2
tt0056443,0,0
tt0056592,14,16
tt0056663,3,1
tt0056687,4,11
tt0056732,4,2
tt0056736,1,4
tt0056801,19,9
tt0056869,5,7
tt0056923,3,9
tt0056937,6,13
tt0057012,14,11
tt0057076,3,6
tt0057091,10,6
tt0057115,3,11
tt0057129,0,0
tt0057163,17,17
tt0057187,6,7
tt0057193,3,10
tt0057197,0,0
tt0057261,1,1
tt0057298,0,0
tt0057345,1,1
tt0057358,3,1
tt0057372,1,1
tt0057413,2,8
tt0057427,2,2
tt0057449,0,0
tt0057495,3,2
tt0057546,1,1
tt0057565,3,3
tt0057590,20,20
tt0057611,3,2
tt0057831,8,16
tt0057869,0,0
tt0057877,14,23
tt0058003,7,4
tt0058083,0,0
tt0058135,0,0
tt0058150,6,6
tt0058182,2,7
tt0058213,3,9
tt0058279,5,2
tt0058329,0,0
tt0058331,22,17
tt0058333,0,0
tt0058385,25,13
tt0058404,2,13
tt0058430,0,0
tt0058450,6,7
tt0058461,1,4
tt0058548,0,0
tt0058576,4,8
tt0058586,0,0
tt0058625,10,3
tt0058700,0,0
tt0058715,7,9
tt0058777,0,0
tt0058888,11,2
tt0058898,1,1
tt0058946,9,9
tt0058947,0,0
tt0059017,10,15
tt0059037,1,2
tt0059113,21,13
tt0059170,0,0
tt0059183,0,0
tt0059229,12,5
tt0059243,3,14
tt0059260,0,0
tt0059274,4,6
tt0059319,5,4
tt0059550,1,1
tt0059578,0,0
tt0059592,2,2
tt0059646,2,4
tt0059740,0,0
tt0059742,17,13
tt0059749,10,5
tt0059800,5,5
tt0059825,1,3
tt0059885,1,3
tt0060086,8,22
tt0060107,5,2
tt0060138,8,3
tt0060153,0,0
tt0060176,8,11
tt0060196,3,6
tt0060268,1,2
tt0060315,0,0
tt0060390,0,0
tt0060397,4,6
tt0060424,3,5
tt0060474,0,0
tt0060522,0,0
tt0060584,0,0
tt0060665,33,9
tt0060666,0,0
tt0060675,3,4
tt0060802,2,7
tt0060827,11,5
tt0060862,3,9
tt0060934,2,21
tt0060955,1,3
tt0061107,0,0
tt0061184,22,28
tt0061385,0,0
tt0061395,7,7
tt0061418,23,30
tt0061452,0,0
tt0061512,4,10
tt0061578,4,9
tt0061619,0,0
tt0061655,0,0
tt0061722,21,21
tt0061735,11,24
tt0061747,0,0
tt0061770,0,0
tt0061809,4,11
tt0061811,23,15
tt0061847,8,1
tt0061852,6,3
tt0062136,4,2
tt0062138,0,0
tt0062229,1,3
tt0062376,1,2
tt0062407,3,10
tt0062467,0,0
tt0062480,1,5
tt0062512,2,3
tt0062622,16,12
tt0062687,0,0
tt0062695,5,7
tt0062711,0,0
tt0062759,0,0
tt0062765,7,9
tt0062803,0,0
tt0062824,0,0
tt0062994,8,16
tt0063032,0,0
tt0063035,0,0
tt0063227,15,18
tt0063350,0,0
tt0063374,3,9
tt0063385,12,25
tt0063415,0,0
tt0063442,6,4
tt0063462,3,5
tt0063518,16,15
tt0063522,11,12
tt0063611,10,5
tt0063678,1,4
tt0063688,2,5
tt0063759,0,0
tt0063823,2,2
tt0063850,2,4
tt0064040,4,1
tt0064072,1,1
tt0064115,21,15
tt0064116,4,5
tt0064276,8,14
tt0064418,4,13
tt0064505,0,0
tt0064541,6,5
tt0064603,1,2
tt0064612,4,4
tt0064665,28,16
tt0064757,1,4
